id,domain,category,audience,question,answer,keywords,source
VASTRA-00125,handloom,Product Care,customer,How should I store my Ilkal Saree?,"Store completely dry in a clean, ventilated place.","ilkal saree, storage, care",Curated Vastra domain knowledge
VASTRA-00126,handloom,Handloom Products,customer|professional|seller,What is a Molkalmuru Silk Saree?,Molkalmuru Silk Saree is a handloom/textile product associated with Karnataka. Common material descriptions include silk. It is commonly used for festive and ceremonial wear. Traditional Karnataka silk handloom associated with Molkalmuru.,"molkalmuru silk saree, karnataka, silk, handloom",Curated Vastra domain knowledge
VASTRA-00127,handloom,Product Care,customer,How should I wash my Molkalmuru Silk Saree?,"Check the product care label. Because products may contain different fibres, dyes, zari, embroidery or finishes, use the specified washing method rather than assuming a generic method.","molkalmuru silk saree, washing, care",Curated Vastra domain knowledge
VASTRA-00128,handloom,Product Care,customer,How should I iron my Molkalmuru Silk Saree?,Follow the product care label. Use the lowest effective heat and a pressing cloth for delicate or decorative surfaces when permitted.,"molkalmuru silk saree, ironing, care",Curated Vastra domain knowledge
VASTRA-00129,handloom,Product Care,customer,How should I store my Molkalmuru Silk Saree?,"Store clean and completely dry in a breathable, protected environment away from prolonged direct sunlight and moisture.","molkalmuru silk saree, storage, care",Curated Vastra domain knowledge
VASTRA-00130,handloom,Handloom Products,customer|professional|seller,What is a Narayanpet Saree?,Narayanpet Saree is a handloom/textile product associated with Telangana. Common material descriptions include cotton and silk variants. It is commonly used for everyday and festive wear. Narayanpet handloom sarees include cotton and silk variants with characteristic borders and designs.,"narayanpet saree, telangana, cotton and silk variants, handloom",Curated Vastra domain knowledge
VASTRA-00131,handloom,Product Care,customer,How should I wash my Narayanpet Saree?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","narayanpet saree, washing, care",Curated Vastra domain knowledge
VASTRA-00132,handloom,Product Care,customer,How should I iron my Narayanpet Saree?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","narayanpet saree, ironing, care",Curated Vastra domain knowledge
VASTRA-00133,handloom,Product Care,customer,How should I store my Narayanpet Saree?,"Store completely dry in a clean, ventilated place.","narayanpet saree, storage, care",Curated Vastra domain knowledge
VASTRA-00134,handloom,Handloom Products,customer|professional|seller,What is a Sambalpuri Ikat Saree?,Sambalpuri Ikat Saree is a handloom/textile product associated with Odisha. Common material descriptions include cotton and silk. It is commonly used for everyday and festive wear. Odisha Ikat tradition with yarn resist-dyed patterns.,"sambalpuri ikat saree, odisha, cotton and silk, handloom",Curated Vastra domain knowledge
VASTRA-00135,handloom,Product Care,customer,How should I wash my Sambalpuri Ikat Saree?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","sambalpuri ikat saree, washing, care",Curated Vastra domain knowledge
VASTRA-00136,handloom,Product Care,customer,How should I iron my Sambalpuri Ikat Saree?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","sambalpuri ikat saree, ironing, care",Curated Vastra domain knowledge
VASTRA-00137,handloom,Product Care,customer,How should I store my Sambalpuri Ikat Saree?,"Store completely dry in a clean, ventilated place.","sambalpuri ikat saree, storage, care",Curated Vastra domain knowledge
VASTRA-00138,handloom,Handloom Products,customer|professional|seller,What is a Bomkai Saree?,Bomkai Saree is a handloom/textile product associated with Odisha. Common material descriptions include cotton and silk variants. It is commonly used for festive and formal wear. Known for intricate motifs and traditional Odisha weaving.,"bomkai saree, odisha, cotton and silk variants, handloom",Curated Vastra domain knowledge
VASTRA-00139,handloom,Product Care,customer,How should I wash my Bomkai Saree?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","bomkai saree, washing, care",Curated Vastra domain knowledge
VASTRA-00140,handloom,Product Care,customer,How should I iron my Bomkai Saree?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","bomkai saree, ironing, care",Curated Vastra domain knowledge
VASTRA-00141,handloom,Product Care,customer,How should I store my Bomkai Saree?,"Store completely dry in a clean, ventilated place.","bomkai saree, storage, care",Curated Vastra domain knowledge
VASTRA-00142,handloom,Handloom Products,customer|professional|seller,What is a Khandua Saree?,Khandua Saree is a handloom/textile product associated with Odisha. Common material descriptions include silk/cotton variants. It is commonly used for festive and ceremonial wear. Traditional Odisha textile associated with distinctive motifs and weaving.,"khandua saree, odisha, silk/cotton variants, handloom",Curated Vastra domain knowledge
VASTRA-00143,handloom,Product Care,customer,How should I wash my Khandua Saree?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","khandua saree, washing, care",Curated Vastra domain knowledge
VASTRA-00144,handloom,Product Care,customer,How should I iron my Khandua Saree?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","khandua saree, ironing, care",Curated Vastra domain knowledge
VASTRA-00145,handloom,Product Care,customer,How should I store my Khandua Saree?,"Store completely dry in a clean, ventilated place.","khandua saree, storage, care",Curated Vastra domain knowledge
VASTRA-00146,handloom,Handloom Products,customer|professional|seller,What is a Tussar Saree?,Tussar Saree is a handloom/textile product associated with multiple Indian regions. Common material descriptions include Tussar silk. It is commonly used for festive and formal wear. Tussar textiles have characteristic texture and natural variation.,"tussar saree, multiple indian regions, tussar silk, handloom",Curated Vastra domain knowledge
VASTRA-00147,handloom,Product Care,customer,How should I wash my Tussar Saree?,"Check the product care label. Because products may contain different fibres, dyes, zari, embroidery or finishes, use the specified washing method rather than assuming a generic method.","tussar saree, washing, care",Curated Vastra domain knowledge
VASTRA-00148,handloom,Product Care,customer,How should I iron my Tussar Saree?,Follow the product care label. Use the lowest effective heat and a pressing cloth for delicate or decorative surfaces when permitted.,"tussar saree, ironing, care",Curated Vastra domain knowledge
VASTRA-00149,handloom,Product Care,customer,How should I store my Tussar Saree?,"Store clean and completely dry in a breathable, protected environment away from prolonged direct sunlight and moisture.","tussar saree, storage, care",Curated Vastra domain knowledge
VASTRA-00150,handloom,Handloom Products,customer|professional|seller,What is a Muga Silk Saree?,Muga Silk Saree is a handloom/textile product associated with Assam. Common material descriptions include Muga silk. It is commonly used for ceremonial and premium wear. Muga silk is a distinctive Assamese silk with natural golden character.,"muga silk saree, assam, muga silk, handloom",Curated Vastra domain knowledge
VASTRA-00151,handloom,Product Care,customer,How should I wash my Muga Silk Saree?,Follow product-specific care. Valuable Muga pieces are best handled conservatively and professionally cleaned when the label recommends it.,"muga silk saree, washing, care",Curated Vastra domain knowledge
VASTRA-00152,handloom,Product Care,customer,How should I iron my Muga Silk Saree?,Low heat with a pressing cloth if ironing is allowed.,"muga silk saree, ironing, care",Curated Vastra domain knowledge
VASTRA-00153,handloom,Product Care,customer,How should I store my Muga Silk Saree?,"Store dry, clean and protected from excessive light and moisture.","muga silk saree, storage, care",Curated Vastra domain knowledge
VASTRA-00154,handloom,Handloom Products,customer|professional|seller,What is a Eri Silk Shawl?,"Eri Silk Shawl is a handloom/textile product associated with Assam/Northeast. Common material descriptions include Eri silk. It is commonly used for winter and ceremonial use. Eri silk is widely used for soft, textured shawls and garments.","eri silk shawl, assam/northeast, eri silk, handloom",Curated Vastra domain knowledge
VASTRA-00155,handloom,Product Care,customer,How should I wash my Eri Silk Shawl?,Use gentle washing only when the care label permits; otherwise use professional cleaning.,"eri silk shawl, washing, care",Curated Vastra domain knowledge
VASTRA-00156,handloom,Product Care,customer,How should I iron my Eri Silk Shawl?,Low heat or gentle steam if permitted.,"eri silk shawl, ironing, care",Curated Vastra domain knowledge
VASTRA-00157,handloom,Product Care,customer,How should I store my Eri Silk Shawl?,"Store clean, dry and away from strong light.","eri silk shawl, storage, care",Curated Vastra domain knowledge
VASTRA-00158,handloom,Handloom Products,customer|professional|seller,What is a Kosa Silk Saree?,Kosa Silk Saree is a handloom/textile product associated with Chhattisgarh. Common material descriptions include Tussar/Kosa silk. It is commonly used for festive and formal wear. Kosa is a regional term associated with Tussar silk traditions in Chhattisgarh.,"kosa silk saree, chhattisgarh, tussar/kosa silk, handloom",Curated Vastra domain knowledge
VASTRA-00159,handloom,Product Care,customer,How should I wash my Kosa Silk Saree?,"Check the product care label. Because products may contain different fibres, dyes, zari, embroidery or finishes, use the specified washing method rather than assuming a generic method.","kosa silk saree, washing, care",Curated Vastra domain knowledge
VASTRA-00160,handloom,Product Care,customer,How should I iron my Kosa Silk Saree?,Follow the product care label. Use the lowest effective heat and a pressing cloth for delicate or decorative surfaces when permitted.,"kosa silk saree, ironing, care",Curated Vastra domain knowledge
VASTRA-00161,handloom,Product Care,customer,How should I store my Kosa Silk Saree?,"Store clean and completely dry in a breathable, protected environment away from prolonged direct sunlight and moisture.","kosa silk saree, storage, care",Curated Vastra domain knowledge
VASTRA-00162,handloom,Handloom Products,customer|professional|seller,What is a Dhakai Jamdani?,Dhakai Jamdani is a handloom/textile product associated with Bangladesh and South Asian textile tradition. Common material descriptions include cotton and silk variants. It is commonly used for formal and heritage wear. Jamdani is known for intricate supplementary-weft motifs; verify origin and authenticity for specific products.,"dhakai jamdani, bangladesh and south asian textile tradition, cotton and silk variants, handloom",Curated Vastra domain knowledge
VASTRA-00163,handloom,Product Care,customer,How should I wash my Dhakai Jamdani?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","dhakai jamdani, washing, care",Curated Vastra domain knowledge
VASTRA-00164,handloom,Product Care,customer,How should I iron my Dhakai Jamdani?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","dhakai jamdani, ironing, care",Curated Vastra domain knowledge
VASTRA-00165,handloom,Product Care,customer,How should I store my Dhakai Jamdani?,"Store completely dry in a clean, ventilated place.","dhakai jamdani, storage, care",Curated Vastra domain knowledge
VASTRA-00166,handloom,Handloom Products,customer|professional|seller,What is a Tangail Saree?,Tangail Saree is a handloom/textile product associated with West Bengal/Bangladesh textile tradition. Common material descriptions include cotton and silk variants. It is commonly used for formal and festive wear. Tangail traditions include fine handwoven sarees with patterned structures.,"tangail saree, west bengal/bangladesh textile tradition, cotton and silk variants, handloom",Curated Vastra domain knowledge
VASTRA-00167,handloom,Product Care,customer,How should I wash my Tangail Saree?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","tangail saree, washing, care",Curated Vastra domain knowledge
VASTRA-00168,handloom,Product Care,customer,How should I iron my Tangail Saree?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","tangail saree, ironing, care",Curated Vastra domain knowledge
VASTRA-00169,handloom,Product Care,customer,How should I store my Tangail Saree?,"Store completely dry in a clean, ventilated place.","tangail saree, storage, care",Curated Vastra domain knowledge
VASTRA-00170,handloom,Handloom Products,customer|professional|seller,What is a Tant Saree?,Tant Saree is a handloom/textile product associated with West Bengal. Common material descriptions include cotton. It is commonly used for summer and everyday wear. Lightweight cotton handloom saree associated with Bengal.,"tant saree, west bengal, cotton, handloom",Curated Vastra domain knowledge
VASTRA-00171,handloom,Product Care,customer,How should I wash my Tant Saree?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","tant saree, washing, care",Curated Vastra domain knowledge
VASTRA-00172,handloom,Product Care,customer,How should I iron my Tant Saree?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","tant saree, ironing, care",Curated Vastra domain knowledge
VASTRA-00173,handloom,Product Care,customer,How should I store my Tant Saree?,"Store completely dry in a clean, ventilated place.","tant saree, storage, care",Curated Vastra domain knowledge
VASTRA-00174,handloom,Handloom Products,customer|professional|seller,What is a Garad Saree?,Garad Saree is a handloom/textile product associated with West Bengal. Common material descriptions include silk. It is commonly used for traditional and ceremonial wear. Traditional Bengal silk saree style.,"garad saree, west bengal, silk, handloom",Curated Vastra domain knowledge
VASTRA-00175,handloom,Product Care,customer,How should I wash my Garad Saree?,"Check the product care label. Because products may contain different fibres, dyes, zari, embroidery or finishes, use the specified washing method rather than assuming a generic method.","garad saree, washing, care",Curated Vastra domain knowledge
VASTRA-00176,handloom,Product Care,customer,How should I iron my Garad Saree?,Follow the product care label. Use the lowest effective heat and a pressing cloth for delicate or decorative surfaces when permitted.,"garad saree, ironing, care",Curated Vastra domain knowledge
VASTRA-00177,handloom,Product Care,customer,How should I store my Garad Saree?,"Store clean and completely dry in a breathable, protected environment away from prolonged direct sunlight and moisture.","garad saree, storage, care",Curated Vastra domain knowledge
VASTRA-00178,handloom,Handloom Products,customer|professional|seller,What is a Jamdani Saree?,Jamdani Saree is a handloom/textile product associated with India/Bangladesh traditions. Common material descriptions include cotton and silk variants. It is commonly used for formal and festive wear. Known for supplementary-weft motifs woven into the fabric.,"jamdani saree, india/bangladesh traditions, cotton and silk variants, handloom",Curated Vastra domain knowledge
VASTRA-00179,handloom,Product Care,customer,How should I wash my Jamdani Saree?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","jamdani saree, washing, care",Curated Vastra domain knowledge
VASTRA-00180,handloom,Product Care,customer,How should I iron my Jamdani Saree?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","jamdani saree, ironing, care",Curated Vastra domain knowledge
VASTRA-00181,handloom,Product Care,customer,How should I store my Jamdani Saree?,"Store completely dry in a clean, ventilated place.","jamdani saree, storage, care",Curated Vastra domain knowledge
VASTRA-00182,handloom,Handloom Products,customer|professional|seller,What is a Khadi Saree?,"Khadi Saree is a handloom/textile product associated with multiple Indian regions. Common material descriptions include hand-spun cotton; silk variants also exist. It is commonly used for everyday, formal and national/heritage wear. Khadi refers to hand-spun and handwoven textile traditions; verify fibre content for each product.","khadi saree, multiple indian regions, hand-spun cotton; silk variants also exist, handloom",Curated Vastra domain knowledge
VASTRA-00183,handloom,Product Care,customer,How should I wash my Khadi Saree?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","khadi saree, washing, care",Curated Vastra domain knowledge
VASTRA-00184,handloom,Product Care,customer,How should I iron my Khadi Saree?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","khadi saree, ironing, care",Curated Vastra domain knowledge
VASTRA-00185,handloom,Product Care,customer,How should I store my Khadi Saree?,"Store completely dry in a clean, ventilated place.","khadi saree, storage, care",Curated Vastra domain knowledge
VASTRA-00186,handloom,Handloom Products,customer|professional|seller,What is a Mangalagiri Saree?,Mangalagiri Saree is a handloom/textile product associated with Andhra Pradesh. Common material descriptions include cotton. It is commonly used for everyday and festive wear. Known for fine cotton textures and distinctive borders.,"mangalagiri saree, andhra pradesh, cotton, handloom",Curated Vastra domain knowledge
VASTRA-00187,handloom,Product Care,customer,How should I wash my Mangalagiri Saree?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","mangalagiri saree, washing, care",Curated Vastra domain knowledge
VASTRA-00188,handloom,Product Care,customer,How should I iron my Mangalagiri Saree?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","mangalagiri saree, ironing, care",Curated Vastra domain knowledge
VASTRA-00189,handloom,Product Care,customer,How should I store my Mangalagiri Saree?,"Store completely dry in a clean, ventilated place.","mangalagiri saree, storage, care",Curated Vastra domain knowledge
VASTRA-00190,handloom,Handloom Products,customer|professional|seller,What is a Venkatagiri Saree?,Venkatagiri Saree is a handloom/textile product associated with Andhra Pradesh. Common material descriptions include cotton and silk variants. It is commonly used for everyday and festive wear. Traditional lightweight weaving associated with Venkatagiri.,"venkatagiri saree, andhra pradesh, cotton and silk variants, handloom",Curated Vastra domain knowledge
VASTRA-00191,handloom,Product Care,customer,How should I wash my Venkatagiri Saree?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","venkatagiri saree, washing, care",Curated Vastra domain knowledge
VASTRA-00192,handloom,Product Care,customer,How should I iron my Venkatagiri Saree?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","venkatagiri saree, ironing, care",Curated Vastra domain knowledge
VASTRA-00193,handloom,Product Care,customer,How should I store my Venkatagiri Saree?,"Store completely dry in a clean, ventilated place.","venkatagiri saree, storage, care",Curated Vastra domain knowledge
VASTRA-00194,handloom,Handloom Products,customer|professional|seller,What is a Balaramapuram Saree?,Balaramapuram Saree is a handloom/textile product associated with Kerala. Common material descriptions include cotton. It is commonly used for everyday and festive wear. Fine cotton handloom associated with Balaramapuram.,"balaramapuram saree, kerala, cotton, handloom",Curated Vastra domain knowledge
VASTRA-00195,handloom,Product Care,customer,How should I wash my Balaramapuram Saree?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","balaramapuram saree, washing, care",Curated Vastra domain knowledge
VASTRA-00196,handloom,Product Care,customer,How should I iron my Balaramapuram Saree?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","balaramapuram saree, ironing, care",Curated Vastra domain knowledge
VASTRA-00197,handloom,Product Care,customer,How should I store my Balaramapuram Saree?,"Store completely dry in a clean, ventilated place.","balaramapuram saree, storage, care",Curated Vastra domain knowledge
VASTRA-00198,handloom,Handloom Products,customer|professional|seller,What is a Kasavu Saree?,Kasavu Saree is a handloom/textile product associated with Kerala. Common material descriptions include cotton with decorative metallic border in traditional styles. It is commonly used for festive and ceremonial wear. Traditional Kerala saree style; decorative metallic elements require careful care.,"kasavu saree, kerala, cotton with decorative metallic border in traditional styles, handloom",Curated Vastra domain knowledge
VASTRA-00199,handloom,Product Care,customer,How should I wash my Kasavu Saree?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","kasavu saree, washing, care",Curated Vastra domain knowledge
VASTRA-00200,handloom,Product Care,customer,How should I iron my Kasavu Saree?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","kasavu saree, ironing, care",Curated Vastra domain knowledge
VASTRA-00201,handloom,Product Care,customer,How should I store my Kasavu Saree?,"Store completely dry in a clean, ventilated place.","kasavu saree, storage, care",Curated Vastra domain knowledge
VASTRA-00202,handloom,Handloom Products,customer|professional|seller,What is a Chettinad Cotton Saree?,"Chettinad Cotton Saree is a handloom/textile product associated with Tamil Nadu. Common material descriptions include cotton. It is commonly used for everyday wear. Known for strong checks, stripes and bold colour combinations.","chettinad cotton saree, tamil nadu, cotton, handloom",Curated Vastra domain knowledge
VASTRA-00203,handloom,Product Care,customer,How should I wash my Chettinad Cotton Saree?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","chettinad cotton saree, washing, care",Curated Vastra domain knowledge
VASTRA-00204,handloom,Product Care,customer,How should I iron my Chettinad Cotton Saree?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","chettinad cotton saree, ironing, care",Curated Vastra domain knowledge
VASTRA-00205,handloom,Product Care,customer,How should I store my Chettinad Cotton Saree?,"Store completely dry in a clean, ventilated place.","chettinad cotton saree, storage, care",Curated Vastra domain knowledge
VASTRA-00206,handloom,Handloom Products,customer|professional|seller,What is a Coimbatore Cotton Saree?,Coimbatore Cotton Saree is a handloom/textile product associated with Tamil Nadu. Common material descriptions include cotton. It is commonly used for everyday and formal wear. Cotton handloom tradition associated with Coimbatore region.,"coimbatore cotton saree, tamil nadu, cotton, handloom",Curated Vastra domain knowledge
VASTRA-00207,handloom,Product Care,customer,How should I wash my Coimbatore Cotton Saree?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","coimbatore cotton saree, washing, care",Curated Vastra domain knowledge
VASTRA-00208,handloom,Product Care,customer,How should I iron my Coimbatore Cotton Saree?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","coimbatore cotton saree, ironing, care",Curated Vastra domain knowledge
VASTRA-00209,handloom,Product Care,customer,How should I store my Coimbatore Cotton Saree?,"Store completely dry in a clean, ventilated place.","coimbatore cotton saree, storage, care",Curated Vastra domain knowledge
VASTRA-00210,handloom,Handloom Products,customer|professional|seller,What is a Koorainadu Saree?,Koorainadu Saree is a handloom/textile product associated with Tamil Nadu. Common material descriptions include silk/cotton traditions. It is commonly used for traditional and festive wear. Traditional Tamil textile associated with fine weaving.,"koorainadu saree, tamil nadu, silk/cotton traditions, handloom",Curated Vastra domain knowledge
VASTRA-00211,handloom,Product Care,customer,How should I wash my Koorainadu Saree?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","koorainadu saree, washing, care",Curated Vastra domain knowledge
VASTRA-00212,handloom,Product Care,customer,How should I iron my Koorainadu Saree?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","koorainadu saree, ironing, care",Curated Vastra domain knowledge
VASTRA-00213,handloom,Product Care,customer,How should I store my Koorainadu Saree?,"Store completely dry in a clean, ventilated place.","koorainadu saree, storage, care",Curated Vastra domain knowledge
VASTRA-00214,handloom,Handloom Products,customer|professional|seller,What is a Madurai Sungudi?,Madurai Sungudi is a handloom/textile product associated with Tamil Nadu. Common material descriptions include cotton. It is commonly used for everyday and summer wear. Traditional tie-dye/resist textile tradition associated with Madurai.,"madurai sungudi, tamil nadu, cotton, handloom",Curated Vastra domain knowledge
VASTRA-00215,handloom,Product Care,customer,How should I wash my Madurai Sungudi?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","madurai sungudi, washing, care",Curated Vastra domain knowledge
VASTRA-00216,handloom,Product Care,customer,How should I iron my Madurai Sungudi?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","madurai sungudi, ironing, care",Curated Vastra domain knowledge
VASTRA-00217,handloom,Product Care,customer,How should I store my Madurai Sungudi?,"Store completely dry in a clean, ventilated place.","madurai sungudi, storage, care",Curated Vastra domain knowledge
VASTRA-00218,handloom,Handloom Products,customer|professional|seller,What is a Dhotis / Veshti?,"Dhotis / Veshti is a handloom/textile product associated with multiple Indian regions. Common material descriptions include cotton, silk and blends. It is commonly used for traditional and formal menswear. A rectangular lower garment; names and construction vary by region.","dhotis / veshti, multiple indian regions, cotton, silk and blends, handloom",Curated Vastra domain knowledge
VASTRA-00219,handloom,Product Care,customer,How should I wash my Dhotis / Veshti?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","dhotis / veshti, washing, care",Curated Vastra domain knowledge
VASTRA-00220,handloom,Product Care,customer,How should I iron my Dhotis / Veshti?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","dhotis / veshti, ironing, care",Curated Vastra domain knowledge
VASTRA-00221,handloom,Product Care,customer,How should I store my Dhotis / Veshti?,"Store completely dry in a clean, ventilated place.","dhotis / veshti, storage, care",Curated Vastra domain knowledge
VASTRA-00222,handloom,Handloom Products,customer|professional|seller,What is a Angavastram?,"Angavastram is a handloom/textile product associated with South India. Common material descriptions include cotton or silk. It is commonly used for shoulder cloth, ceremonial and traditional wear. A rectangular drape worn with traditional attire; care depends on material.","angavastram, south india, cotton or silk, handloom",Curated Vastra domain knowledge
VASTRA-00223,handloom,Product Care,customer,How should I wash my Angavastram?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","angavastram, washing, care",Curated Vastra domain knowledge
VASTRA-00224,handloom,Product Care,customer,How should I iron my Angavastram?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","angavastram, ironing, care",Curated Vastra domain knowledge
VASTRA-00225,handloom,Product Care,customer,How should I store my Angavastram?,"Store completely dry in a clean, ventilated place.","angavastram, storage, care",Curated Vastra domain knowledge
VASTRA-00226,handloom,Handloom Products,customer|professional|seller,What is a Mundu?,"Mundu is a handloom/textile product associated with Kerala. Common material descriptions include cotton, sometimes decorative border. It is commonly used for everyday and ceremonial menswear. Traditional Kerala lower garment.","mundu, kerala, cotton, sometimes decorative border, handloom",Curated Vastra domain knowledge
VASTRA-00227,handloom,Product Care,customer,How should I wash my Mundu?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","mundu, washing, care",Curated Vastra domain knowledge
VASTRA-00228,handloom,Product Care,customer,How should I iron my Mundu?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","mundu, ironing, care",Curated Vastra domain knowledge
VASTRA-00229,handloom,Product Care,customer,How should I store my Mundu?,"Store completely dry in a clean, ventilated place.","mundu, storage, care",Curated Vastra domain knowledge
VASTRA-00230,handloom,Handloom Products,customer|professional|seller,What is a Lungi?,Lungi is a handloom/textile product associated with multiple regions. Common material descriptions include cotton and blends. It is commonly used for everyday wear. Comfort-oriented lower garment commonly made from cotton or blends.,"lungi, multiple regions, cotton and blends, handloom",Curated Vastra domain knowledge
VASTRA-00231,handloom,Product Care,customer,How should I wash my Lungi?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","lungi, washing, care",Curated Vastra domain knowledge
VASTRA-00232,handloom,Product Care,customer,How should I iron my Lungi?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","lungi, ironing, care",Curated Vastra domain knowledge
VASTRA-00233,handloom,Product Care,customer,How should I store my Lungi?,"Store completely dry in a clean, ventilated place.","lungi, storage, care",Curated Vastra domain knowledge
VASTRA-00234,handloom,Handloom Products,customer|professional|seller,What is a Shawl?,"Shawl is a handloom/textile product associated with multiple regions. Common material descriptions include wool, pashmina, silk, cotton and blends. It is commonly used for winter, ceremonial and fashion use. Care depends entirely on fibre and construction.","shawl, multiple regions, wool, pashmina, silk, cotton and blends, handloom",Curated Vastra domain knowledge
VASTRA-00235,handloom,Product Care,customer,How should I wash my Shawl?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","shawl, washing, care",Curated Vastra domain knowledge
VASTRA-00236,handloom,Product Care,customer,How should I iron my Shawl?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","shawl, ironing, care",Curated Vastra domain knowledge
VASTRA-00237,handloom,Product Care,customer,How should I store my Shawl?,"Store completely dry in a clean, ventilated place.","shawl, storage, care",Curated Vastra domain knowledge
VASTRA-00238,handloom,Handloom Products,customer|professional|seller,What is a Stole?,"Stole is a handloom/textile product associated with multiple regions. Common material descriptions include silk, cotton, wool, linen and blends. It is commonly used for fashion accessory and formal wear. Lightweight rectangular accessory; check fibre-specific care.","stole, multiple regions, silk, cotton, wool, linen and blends, handloom",Curated Vastra domain knowledge
VASTRA-00239,handloom,Product Care,customer,How should I wash my Stole?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","stole, washing, care",Curated Vastra domain knowledge
VASTRA-00240,handloom,Product Care,customer,How should I iron my Stole?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","stole, ironing, care",Curated Vastra domain knowledge
VASTRA-00241,handloom,Product Care,customer,How should I store my Stole?,"Store completely dry in a clean, ventilated place.","stole, storage, care",Curated Vastra domain knowledge
VASTRA-00242,handloom,Handloom Products,customer|professional|seller,What is a Dupatta?,"Dupatta is a handloom/textile product associated with multiple regions. Common material descriptions include cotton, silk, wool and blends. It is commonly used for traditional and contemporary clothing. Care depends on fibre, embroidery, dye and embellishment.","dupatta, multiple regions, cotton, silk, wool and blends, handloom",Curated Vastra domain knowledge
VASTRA-00243,handloom,Product Care,customer,How should I wash my Dupatta?,"Many cotton handlooms are washable, but follow the care label. Gentle washing and mild detergent are safer for dyed products.","dupatta, washing, care",Curated Vastra domain knowledge
VASTRA-00244,handloom,Product Care,customer,How should I iron my Dupatta?,"Cotton usually tolerates moderate heat, but the care label determines the safe setting.","dupatta, ironing, care",Curated Vastra domain knowledge
VASTRA-00245,handloom,Product Care,customer,How should I store my Dupatta?,"Store completely dry in a clean, ventilated place.","dupatta, storage, care",Curated Vastra domain knowledge
VASTRA-00246,handloom,Handloom Products,customer|professional|seller,What is a Dress Material?,"Dress Material is a handloom/textile product associated with multiple regions. Common material descriptions include cotton, silk, wool, blends. It is commonly used for tailoring and apparel. Sold as coordinated fabric pieces for garments; care depends on composition.","dress material, multiple regions, cotton, silk, wool, blends, handloom",Curated Vastra domain knowledge
